#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-01-29 11:35:02 EST      (caww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 04045500 TAHQUAMENON RIVER NEAR PARADISE, MI
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		70273	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
USGS	04045500	00060	70273	1982	8	628.3
USGS	04045500	00060	70273	1982	9	1166
USGS	04045500	00060	70273	1982	10	1249
USGS	04045500	00060	70273	1982	11	1665
USGS	04045500	00060	70273	1982	12	1363
USGS	04045500	00060	70273	1983	1	983.0
USGS	04045500	00060	70273	1983	2	522.0
USGS	04045500	00060	70273	1983	3	1564
USGS	04045500	00060	70273	1983	4	1905
USGS	04045500	00060	70273	1983	5	1068
USGS	04045500	00060	70273	1983	6	809.1
USGS	04045500	00060	70273	1983	7	259.5
USGS	04045500	00060	70273	1983	8	338.8
USGS	04045500	00060	70273	1983	9	419.8
USGS	04045500	00060	70273	1983	10	1014
USGS	04045500	00060	70273	1983	11	840.7
USGS	04045500	00060	70273	1983	12	630.8
USGS	04045500	00060	70273	1984	1	487.8
USGS	04045500	00060	70273	1984	2	809.0
USGS	04045500	00060	70273	1984	3	756.3
USGS	04045500	00060	70273	1984	4	2524
USGS	04045500	00060	70273	1984	5	980.9
USGS	04045500	00060	70273	1984	6	507.4
USGS	04045500	00060	70273	1984	7	613.5
USGS	04045500	00060	70273	1984	8	292.5
USGS	04045500	00060	70273	1984	9	761.7
USGS	04045500	00060	70273	1984	10	890.4
USGS	04045500	00060	70273	1984	11	1372
USGS	04045500	00060	70273	1984	12	1224
USGS	04045500	00060	70273	1985	1	625.1
USGS	04045500	00060	70273	1985	2	459.4
USGS	04045500	00060	70273	1985	3	930.1
USGS	04045500	00060	70273	1985	4	3634
USGS	04045500	00060	70273	1985	5	2216
USGS	04045500	00060	70273	1985	6	710.3
USGS	04045500	00060	70273	1985	7	350.7
USGS	04045500	00060	70273	1985	8	432.7
USGS	04045500	00060	70273	1985	9	584.2
USGS	04045500	00060	70273	1985	10	987.9
USGS	04045500	00060	70273	1985	11	982.5
USGS	04045500	00060	70273	1985	12	573.8
USGS	04045500	00060	70273	1986	1	500.2
USGS	04045500	00060	70273	1986	2	455.4
USGS	04045500	00060	70273	1986	3	656.7
USGS	04045500	00060	70273	1986	4	3678
USGS	04045500	00060	70273	1986	5	510.5
USGS	04045500	00060	70273	1986	6	405.1
USGS	04045500	00060	70273	1986	7	300.8
USGS	04045500	00060	70273	1986	8	534.0
USGS	04045500	00060	70273	1986	9	742.2
USGS	04045500	00060	70273	1986	10	814.0
USGS	04045500	00060	70273	1986	11	568.3
USGS	04045500	00060	70273	1986	12	502.5
USGS	04045500	00060	70273	1987	1	379.5
USGS	04045500	00060	70273	1987	2	348.9
USGS	04045500	00060	70273	1987	3	832.5
USGS	04045500	00060	70273	1987	4	1537
USGS	04045500	00060	70273	1987	5	579.6
USGS	04045500	00060	70273	1987	6	632.6
USGS	04045500	00060	70273	1987	7	554.4
USGS	04045500	00060	70273	1987	8	377.4
USGS	04045500	00060	70273	1987	9	400.3
USGS	04045500	00060	70273	1987	10	728.7
USGS	04045500	00060	70273	1987	11	881.7
USGS	04045500	00060	70273	1987	12	1105
USGS	04045500	00060	70273	1988	1	451.8
USGS	04045500	00060	70273	1988	2	460.0
USGS	04045500	00060	70273	1988	3	552.7
USGS	04045500	00060	70273	1988	4	3504
USGS	04045500	00060	70273	1988	5	660.4
USGS	04045500	00060	70273	1988	6	243.5
USGS	04045500	00060	70273	1988	7	209.2
USGS	04045500	00060	70273	1988	8	414.5
USGS	04045500	00060	70273	1988	9	577.7
USGS	04045500	00060	70273	1988	10	1101
USGS	04045500	00060	70273	1988	11	2284
USGS	04045500	00060	70273	1988	12	1191
USGS	04045500	00060	70273	1989	1	677.5
USGS	04045500	00060	70273	1989	2	499.7
USGS	04045500	00060	70273	1989	3	532.2
USGS	04045500	00060	70273	1989	4	2763
USGS	04045500	00060	70273	1989	5	1189
USGS	04045500	00060	70273	1989	6	780.3
USGS	04045500	00060	70273	1989	7	221.0
USGS	04045500	00060	70273	1989	8	358.2
USGS	04045500	00060	70273	1989	9	301.3
USGS	04045500	00060	70273	1989	10	359.8
USGS	04045500	00060	70273	1989	11	770.3
USGS	04045500	00060	70273	1989	12	452.5
USGS	04045500	00060	70273	1990	1	413.8
USGS	04045500	00060	70273	1990	2	488.4
USGS	04045500	00060	70273	1990	3	1613
USGS	04045500	00060	70273	1990	4	2194
USGS	04045500	00060	70273	1990	5	1630
USGS	04045500	00060	70273	1990	6	578.3
USGS	04045500	00060	70273	1990	7	363.9
USGS	04045500	00060	70273	1990	8	280.3
USGS	04045500	00060	70273	1990	9	1026
USGS	04045500	00060	70273	1990	10	1135
USGS	04045500	00060	70273	1990	11	867.1
USGS	04045500	00060	70273	1990	12	740.3
USGS	04045500	00060	70273	1991	1	383.7
USGS	04045500	00060	70273	1991	2	393.7
USGS	04045500	00060	70273	1991	3	812.6
USGS	04045500	00060	70273	1991	4	3536
USGS	04045500	00060	70273	1991	5	1153
USGS	04045500	00060	70273	1991	6	351.3
USGS	04045500	00060	70273	1991	7	250.5
USGS	04045500	00060	70273	1991	8	216.6
USGS	04045500	00060	70273	1991	9	327.9
USGS	04045500	00060	70273	1991	10	659.5
USGS	04045500	00060	70273	1991	11	839.6
USGS	04045500	00060	70273	1991	12	968.9
USGS	04045500	00060	70273	1992	1	546.7
USGS	04045500	00060	70273	1992	2	428.7
USGS	04045500	00060	70273	1992	3	590.5
USGS	04045500	00060	70273	1992	4	2170
USGS	04045500	00060	70273	1992	5	1142
USGS	04045500	00060	70273	1992	6	572.0
USGS	04045500	00060	70273	1992	7	798.9
USGS	04045500	00060	70273	1992	8	324.6
USGS	04045500	00060	70273	1992	9	504.1
USGS	04045500	00060	70273	1992	10	983.8
USGS	04045500	00060	70273	1992	11	1354
USGS	04045500	00060	70273	1992	12	996.5
USGS	04045500	00060	70273	1993	1	520.2
USGS	04045500	00060	70273	1993	2	427.1
USGS	04045500	00060	70273	1993	3	441.9
USGS	04045500	00060	70273	1993	4	2701
USGS	04045500	00060	70273	1993	5	1813
USGS	04045500	00060	70273	1993	6	1172
USGS	04045500	00060	70273	1993	7	959.3
USGS	04045500	00060	70273	1993	8	669.5
USGS	04045500	00060	70273	1993	9	562.7
USGS	04045500	00060	70273	1993	10	1162
USGS	04045500	00060	70273	1993	11	1058
USGS	04045500	00060	70273	1993	12	767.5
USGS	04045500	00060	70273	1994	1	373.4
USGS	04045500	00060	70273	1994	2	374.8
USGS	04045500	00060	70273	1994	3	415.2
USGS	04045500	00060	70273	1994	4	2337
USGS	04045500	00060	70273	1994	5	1461
USGS	04045500	00060	70273	1994	6	769.0
USGS	04045500	00060	70273	1994	7	670.8
USGS	04045500	00060	70273	1994	8	469.7
USGS	04045500	00060	70273	1994	9	552.5
USGS	04045500	00060	70273	1994	10	625.1
USGS	04045500	00060	70273	1994	11	749.9
USGS	04045500	00060	70273	1994	12	729.2
USGS	04045500	00060	70273	1995	1	410.5
USGS	04045500	00060	70273	1995	2	351.5
USGS	04045500	00060	70273	1995	3	1176
USGS	04045500	00060	70273	1995	4	1821
USGS	04045500	00060	70273	1995	5	1304
USGS	04045500	00060	70273	1995	6	425.7
USGS	04045500	00060	70273	1995	7	349.9
USGS	04045500	00060	70273	1995	8	284.0
USGS	04045500	00060	70273	1995	9	406.0
USGS	04045500	00060	70273	1995	10	1274
